ps2_real_address,class,method_signature,source_file,profiling_offset
00224500,CB3EffectsManager,Release(),,160
00227630,CB3Bloom,SetRenderstates(),,240
002276a0,CB3Bloom,"Render(bool,bool)",,240
002276d0,CB3Bloom,"Render(bool,bool)",,192
00227700,CB3Bloom,"Render(bool,bool)",,144
00242350,CB3SoundCrashManager,"DeformBonnet(GtMathPs2::CGtV3d,float)",,208
00242460,CB3SoundCrashManager,"DeformBoot(GtMathPs2::CGtV3d,float)",,208
002a28c0,CB3BehaviourOffset,Prepare(void*),,256
002a28e0,CB3BehaviourOffset,Prepare(void*),,224
002a2900,CB3BehaviourOffset,Prepare(void*),,192
002f12f0,CGtLobbyPS2DirtySock,"_UsersStatsCallback(DirtySock::LobbyApiRefT*,DirtySock::LobbyApiMsgT*,void*)",,240
003239d0,CB3OnlineBuddiesMenuPage,UpdateBuddyList(),,256
003356a0,CB3OnlineRecordsDisplayMenuPage,ScrollUsersCountryAndCarBuffer(int),,176
00371710,CGtCollisionKDTree,SphereBBoxTest(GtMathPs2::CGtSphere) const,,144
00376020,CB3CrashNavPage,"UpdateHeadingAndHelpBar(bool,bool)",,176
0039a300,CB3HardCodedCrashStageList,"IsChallengeOnThisCircuit(EB3TrackRegion,int,int)",,160
0039a3a0,CB3HardCodedCrashStageList,"IsCorrectRegion(EB3TrackRegion,int)",,240
0039a420,CB3HardCodedCrashStageList,"GetCrashStageName(int,bool)",,256
0039a440,CB3HardCodedCrashStageList,"GetCrashStageName(int,bool)",,224
0039a460,CB3HardCodedCrashStageList,"GetCrashStageName(int,bool)",,192
0039a480,CB3HardCodedCrashStageList,FindCrashStageName(unsigned long),,192
0039a4f0,CB3HardCodedCrashStageList,FindCrashStage(unsigned long),,208
0039a510,CB3HardCodedCrashStageList,FindCrashStage(unsigned long),,176
0039c1e0,CB3MyBurnoutRecordsState,"Action(EGtStateAction,void*,void*,void*)",,224
00141c80,CB3AIDriver,CalculateSteerAngle(),,208
00227680,CB3Bloom,SetRenderstates(),,160
0022a720,CB3NetworkCarPhysics,Update(float),,144
00277020,CB3StopJunction,"Update(bool,float)",,208
0027bcc0,CB3EnvironmentManager,RenderBackdropTexture(),,224
002ce7f0,CB3MenuPageManager,Construct(),,176
002cfec0,CB3MenuFlowFSM,SetInitialMenuState(),,208
002e5580,CB3OnlineJoinGamePage,"Prepare(char*,char*,char*,int,bool)",,144
002e8c20,CB3AIAggressionBehaviour,FindTarget(),,256
0031e1e0,CB3StageSelectState,"Action(EGtStateAction,void*,void*,void*)",,256
0035ea00,CB3ImageVignette2dObject,"_Render(const CGt2dObject::CGt2dObjectSpace&,const void*)",,208
0039cf40,CB3MyBurnoutProfileLoadPage,"SetMenuOptions(CB3MyBurnoutProfileLoadPage::EMenuOptions,int)",,224
0013d680,CB3AIAvoidance,GenerateTarget(),,208
0014dde0,CB3RaceCar,SetFinished(EB3ScoreFinishState),,192
00151a20,CB3Score,SetFinished(EB3ScoreFinishState),,192
0024c040,CB3SoundGameModeManager,Prepare(),,240
0024c5b0,CB3SoundListener,Update(),,208
002fc4e0,CB3EndOfRaceState,"AddRaceTimes(CB3ResultsPage*,bool)",,176
002ff7f0,CB3OnlineSelNetConfigPage,Update(),,256
0030d520,CB3CrashCameraDirector,UpdateCrashMode(float),,256
0031ffb0,CB3OnlineRankingsState,"Action(EGtStateAction,void*,void*,void*)",,176
003403c0,CB3OnlineLobbySelectPage,Update(),,144
00352100,CB3OnlineGameCreateOptionsPage,Prepare(),,240
0036d1d0,CB3RoadRageResultsPage,PrepareTable(),,208
001fcb60,CB3NetworkPlayer,BandwidthIsAvailableForCrashingTraffic(),,208
00249cd0,CB3HUDSoundManager,Construct(),,224
0024fc20,CB3SoundSkidModel,Prepare(),,224
0024fda0,CB3SoundSkidModel,Construct(),,160
002bb230,CB3SoundDistortion,"CalculateGainPair(float,float,bool,float*,float*)",,224
002bf070,CB3BehaviourTrackSide,Prepare(void*),,176
002cb800,CB3BoostEffectParams,"GetRadialBlurParams(CB3RadialBlurParams*,CB3PlayerCar*,CB3PlayerCameraManager*) const",,144
00309e60,CB3ConnectionAnimationComponent,Update(float),,160
0030a2f0,CB3ConnectionAnimationComponent,Construct(),,0
0034ec50,CB3StageLogic,UpdateCarDamage(),,256
003513f0,CB3OnlineGameCreateOptionsPage,OnKeyboardCancel(),,192
003515e0,CB3OnlineGameCreateOptionsPage,UpdateScroll(),,160
0036a130,CB3GlobeComponent,Update(float),,240
00377230,CB3AwardPresentationPage,PrepareTrackRecords(int),,176
003783a0,CB3EventFinishedState,"Action(EGtStateAction,void*,void*,void*)",,144
00130680,CB3FrontEnd,SetInitialMenu(unsigned long),,192
