source_file,string_address,function_address
"Game\CValueDatabase.cpp",005125e0,00028440
"Game\CValueDatabase.cpp",00512668,00028510
"Game\CValueDatabase.cpp",005126f0,000285d0
"Game\CValueDatabase.cpp",00512758,00028680
"Game\CValueDatabase.cpp",005127d8,00028680
"Game\CValueDatabase.cpp",00512858,00028680
"Game\CValueDatabase.cpp",005128e0,00028680
"Game\CValueDatabase.cpp",00512998,000288d0
"Game\CValueDatabase.cpp",00512a18,000288d0
"Game\CValueDatabase.cpp",00512a98,000288d0
"Game\CValueDatabase.cpp",00512b20,000288d0
"Game\CValueDatabase.cpp",00512ba0,000288d0
"Game\CValueDatabase.cpp",00512c20,000288d0
"Game\CValueDatabase.cpp",00512ca8,000288d0
"Game\CValueDatabase.cpp",00512d60,00028d40
"Game\CValueDatabase.cpp",00512dc0,00028d40
"Game\CValueDatabase.cpp",00512eb0,00028d40
"Game\CValueDatabase.cpp",00512f20,00028d40
"Game\CValueDatabase.cpp",00512fa8,00028d40
"Game\CValueDatabase.cpp",00513050,00028d40
"Game\CValueDatabase.cpp",005130f8,00028d40
"Game\CValueDatabase.cpp",00513180,00028d40
"Game\CValueDatabase.cpp",00513228,00028d40
"Game\CValueDatabase.cpp",005132b0,00028d40
"Game\CValueDatabase.cpp",00513340,00028d40
"Game\CValueDatabase.cpp",00513410,00028d40
"Game\CValueDatabase.cpp",005134f8,00028d40
"Game\CValueDatabase.cpp",005135b0,00028d40
"Game\CValueDatabase.cpp",00513640,00028d40
"Game\CValueDatabase.cpp",005136e8,00028d40
"Game\CValueDatabase.cpp",00513770,00028d40
"Game\CValueDatabase.cpp",00513850,00028d40
"Game\CValueDatabase.cpp",00513930,00029de0
"Game\CValueDatabase.cpp",005139d8,00029de0
"Game\CValueDatabase.cpp",00513a70,00029de0
"Game\CValueDatabase.cpp",00513af0,00029f20
"Game\CValueDatabase.cpp",00513b58,00029f20
"Game\CValueEditor.cpp",00514294,0002a010
"Game\CValueEditor.cpp",00514348,0002a120
"Game\CValueEditor.cpp",00514530,0002aa30
"Game\CValueEditor.cpp",00514590,0002aa30
"Game\CValueEditor.cpp",005145f0,0002aa30
"Game\CValueEditor.cpp",00514650,0002aa30
"Game\CValueEditor.cpp",005146b8,0002bd10
"HUD\CHudComponentBonus.cpp",00515780,0002ed20
"HUD\CHudComponentBonus.cpp",00515808,0002ed20
"HUD\CHudComponentBonus.cpp",00515890,0002ed20
"HUD\CHudComponentBonus.cpp",00515908,0002ed20
"HUD\CHudComponentBonus.cpp",00515990,0002ed20
"HUD\CHudComponentBonus.cpp",00515a08,0002ed20
"HUD\CHudComponentBonus.cpp",00515a90,0002ed20
"HUD\CHudComponentBonus.cpp",00515b00,0002ed20
"HUD\CHudComponentBonus.cpp",00515b98,0002e150
"HUD\CHudComponentBonus.cpp",005161d0,0002ea90
"HUD\CHudComponentBurn.cpp",00516568,0002fa30
"HUD\CHudComponentCountdown.cpp",00516e80,00030930
"HUD\CHudComponentCountdown.cpp",00516ef8,00030930
"HUD\CHudComponentCountdown.cpp",00516f70,00030930
"HUD\CHudComponentCountdown.cpp",00517008,000306e0
"HUD\CHudComponentCountdown.cpp",00517098,00030750
"HUD\CHudComponentCrashDamageScore.cpp",00517810,00031400
"HUD\CHudComponentCrashDamageScore.cpp",005178e0,00031470
"HUD\CHudComponentCrashDamageScore.cpp",005179a0,00031690
